time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cidade,estado,regiao,latitude,longitude
2025-02-11,23.1,28.5,18.7,3.8,8.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-12,23.9,29.3,19.2,6.1,12.1,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-13,22.4,29.5,18.6,20.2,13.1,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-14,21.3,26.8,18.3,4.3,11.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-15,22.2,27.3,18.9,3.0,6.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-16,23.9,28.5,20.7,1.2,15.9,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-17,24.7,29.5,21.4,0.4,16.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-18,21.2,26.3,17.9,31.0,12.3,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-19,20.8,25.7,17.8,6.5,13.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-20,21.9,27.8,17.7,8.5,9.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-21,22.3,27.2,20.0,1.5,12.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-22,21.8,26.5,19.5,0.1,11.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-23,21.7,26.6,19.0,0.1,13.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-24,21.7,27.5,17.6,3.6,10.3,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-25,22.5,28.4,18.8,3.2,10.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-26,23.1,29.1,18.7,1.3,11.3,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-27,23.4,30.0,20.0,1.0,11.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-02-28,23.0,30.6,17.8,0.9,12.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-01,23.1,30.5,16.9,0.9,10.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-02,24.4,32.2,19.0,0.4,14.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-03,23.0,29.5,17.9,0.0,13.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-04,22.3,29.1,17.8,0.1,15.9,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-05,21.3,26.8,17.3,2.1,16.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-06,21.5,27.3,17.7,0.0,13.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-07,21.4,26.3,17.9,1.4,14.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-08,23.1,30.3,18.3,0.0,12.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-09,23.5,30.4,18.8,3.6,9.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-10,20.1,24.1,18.3,3.2,13.1,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-11,20.5,26.4,17.8,6.3,11.3,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-12,20.5,25.6,17.1,11.5,9.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-13,20.9,26.8,18.5,13.6,11.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-14,20.6,25.6,18.1,30.3,10.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-15,19.6,23.3,17.3,2.7,11.6,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-16,18.9,22.1,17.2,0.3,12.2,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-17,20.2,25.9,17.2,1.0,12.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-18,20.1,26.2,16.4,4.1,13.9,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-19,19.1,23.8,15.9,0.4,13.7,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-20,18.4,24.1,14.8,0.2,13.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-21,18.6,25.4,14.7,0.0,15.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-22,19.5,26.1,13.8,0.0,12.4,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-23,20.8,26.3,17.1,5.7,10.5,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-24,21.3,28.0,16.4,0.3,9.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-25,21.2,27.6,17.1,2.2,12.0,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-26,19.9,23.1,18.2,5.0,12.8,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-27,20.0,24.5,17.0,1.1,12.1,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-28,21.0,27.0,17.3,7.3,9.1,Curitiba,PR,Sul,-25.4284,-49.2733
2025-03-29,21.5,27.5,18.7,7.5,10.7,Curitiba,PR,Sul,-25.4284,-49.2733
